WEAPObjectType,ObjectCategoryName,WEAPAttributeName,AttributeCategoryName
Catchment,,Area,
Catchment,,BOD Concentration,Water Quality
Catchment,,BOD Inflow,Water Quality
Catchment,,BOD Intensity,Water Quality
Catchment,,Capital Costs,Cost
Catchment,,DO Concentration,Water Quality
Catchment,,DO Inflow,Water Quality
Catchment,,DO Intensity,Water Quality
Catchment,,ETref,
Catchment,,Effective Precipitation,
Catchment,,Fixed Benefits,Cost
Catchment,,Fixed Operating Costs,Cost
Catchment,,Harvest Date,
Catchment,,Kc,
Catchment,,Market Price,
Catchment,,Method,
Catchment,,Planting Date,
Catchment,,Potential Yield,
Catchment,,Precipitation,
Catchment,,Reuse Rate,
Catchment,,Variable Benefits,Cost
Catchment,,Variable Operating Costs,Cost
Catchment,,Yield Response Factor,
Demand Site,,BOD Concentration,Water Quality
Demand Site,,BOD Inflow,Water Quality
Demand Site,,BOD Intensity,Water Quality
Demand Site,,Capital Costs,Cost
Demand Site,,DO Concentration,Water Quality
Demand Site,,DO Inflow,Water Quality
Demand Site,,DO Intensity,Water Quality
Demand Site,,DSM Cost,Cost
Demand Site,,DSM Savings,Cost
Demand Site,,Demand Priority,
Demand Site,,Fixed Benefits,Cost
Demand Site,,Fixed Operating Costs,Cost
Demand Site,,Loss Rate,
Demand Site,,Method,
Demand Site,,Monthly Variation,
Demand Site,,Reuse Rate,
Demand Site,,Variable Benefits,Cost
Demand Site,,Variable Operating Costs,Cost
Flow Requirement,,Capital Costs,Cost
Flow Requirement,,Fixed Benefits,Cost
Flow Requirement,,Fixed Operating Costs,Cost
Flow Requirement,,Priority,
Flow Requirement,,Variable Benefits,Cost
Flow Requirement,,Variable Operating Costs,Cost
Groundwater,,BOD Concentration,Water Quality
Groundwater,,Capital Costs,Water Quality
Groundwater,,DO Concentration,Water Quality
Groundwater,,Fixed Benefits,Cost
Groundwater,,Fixed Operating Costs,Cost
Groundwater,,Initial Storage,
Groundwater,,Maximum Withdrawal,
Groundwater,,Method,
Groundwater,,Natural Recharge,
Groundwater,,Storage Capacity,
Groundwater,,Temperature,Water Quality
Groundwater,,Variable Benefits,Cost
Groundwater,,Variable Operating Costs,Cost
Reservoir,,BOD Concentration,Water Quality
Reservoir,,Buffer Coefficient,
Reservoir,,Buffer Priority,
Reservoir,,Capital Costs,Cost
Reservoir,,DO Concentration,Water Quality
Reservoir,,Electricity Revenue,Cost
Reservoir,,Energy Demand,
Reservoir,,Fixed Benefits,Cost
Reservoir,,Fixed Operating Costs,Cost
Reservoir,,Generating Efficiency,
Reservoir,,Hydropower Priority,
Reservoir,,Loss to Groundwater,
Reservoir,,Max. Turbine Flow,
Reservoir,,Maximum Hydraulic Outflow,
Reservoir,,Plant Factor,
Reservoir,,Priority,
Reservoir,,Tailwater Elevation,
Reservoir,,Temperature,Water Quality
Reservoir,,Top of Buffer,
Reservoir,,Top of Conservation,
Reservoir,,Top of Inactive,
Reservoir,,Variable Benefits,Cost
Reservoir,,Variable Operating Costs,Cost
Reservoir,,Volume Elevation Curve,
Return Flow,,BOD Decrease,Water Quality
Return Flow,,Capital Costs,Water Quality
Return Flow,,DO Decrease,Water Quality
Return Flow,,Fixed Benefits,Cost
Return Flow,,Fixed Operating Costs,Cost
Return Flow,,Gain from Groundwater,
Return Flow,,Loss from System,
Return Flow,,Loss to Groundwater,
Return Flow,,Return Flow Routing,
Return Flow,,Variable Benefits,Cost
Return Flow,,Variable Operating Costs,Cost
River Headflow,,BOD Concentration,Water Quality
River Headflow,,Capital Costs,Water Quality
River Headflow,,DO Concentration,Water Quality
River Headflow,,Fixed Benefits,Cost
River Headflow,,Fixed Operating Costs,Cost
River Headflow,,Headflow,
River Headflow,,Model Water Quality?,Water Quality
River Headflow,,Variable Benefits,Cost
River Headflow,,Variable Operating Costs,Cost
River Reach,,BOD Concentration,Water Quality
River Reach,,Capital Costs,Water Quality
River Reach,,DO Concentration,Water Quality
River Reach,,Distance Marker,
River Reach,,Evaporation,
River Reach,,Fixed Benefits,Cost
River Reach,,Fixed Operating Costs,Cost
River Reach,,Flow Stage Width,
River Reach,,Groundwater Inflow,
River Reach,,Groundwater Outflow,
River Reach,,Reach Length,
River Reach,,River Flooding Fraction,
River Reach,,River Flooding Threshold,
River Reach,,Surface Water Inflow,
River Reach,,Variable Benefits,Cost
River Reach,,Variable Operating Costs,Cost
River Reach,,Water Temperature,Water Quality
Run of the River Hydro,,Capital Costs,Cost
Run of the River Hydro,,Electricity Revenue,Cost
Run of the River Hydro,,Energy Demand,
Run of the River Hydro,,Fixed Benefits,Cost
Run of the River Hydro,,Fixed Head,
Run of the River Hydro,,Fixed Operating Costs,Cost
Run of the River Hydro,,Generating Efficiency,
Run of the River Hydro,,Hydropower Priority,
Run of the River Hydro,,Max Turbine Flow,
Run of the River Hydro,,Plant Factor,
Run of the River Hydro,,Variable Benefits,Cost
Run of the River Hydro,,Variable Operating Costs,Cost
Streamflow Gauge,,BOD Concentration Data,Water Quality
Streamflow Gauge,,DO Concentration Data,Water Quality
Transmission Link,,Capital Costs,Cost
Transmission Link,,Fixed Benefits,Cost
Transmission Link,,Fixed Operating Costs,Cost
Transmission Link,,Loss from System,
Transmission Link,,Loss to Groundwater,
Transmission Link,,Maximum Flow   Percent of Demand,
Transmission Link,,Supply Preference,
Transmission Link,,Variable Benefits,Cost
Transmission Link,,Variable Operating Costs,Cost
WEAP Global Attributes,,Acft_per_month_to_cfs,Key Assumptions
WEAP Global Attributes,,Canal Transmission Losses,Key Assumptions
WEAP Global Attributes,,Irrigation Consumption,Key Assumptions
WEAP Global Attributes,,Seconds Per Month,Key Assumptions
Wastewater Treatment Plant,,BOD Concentration,Water Quality
Wastewater Treatment Plant,,BOD Removal,Water Quality
Wastewater Treatment Plant,,Capital Costs,Cost
Wastewater Treatment Plant,,Consumption,
Wastewater Treatment Plant,,DO Concentration,Water Quality
Wastewater Treatment Plant,,DO Removal,Water Quality
Wastewater Treatment Plant,,Daily Capacity,
Wastewater Treatment Plant,,Fixed Benefits,Cost
Wastewater Treatment Plant,,Fixed Operating Costs,Cost
Wastewater Treatment Plant,,Variable Benefits,Cost
Wastewater Treatment Plant,,Variable Operating Costs,Cost
